Currency_Pair,Sharpe_Ratio,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Total_Profit,Avg_Profit_Per_Trade,Avg_Winning_Trade,Avg_Losing_Trade,Max_Profit,Max_Loss,Profit_Std,Profit_Factor,Initial_Balance,Final_Balance,Total_Return_Percent,Trading_Period_Days,Start_Date,End_Date,XIRR,Max_Drawdown
AUDUSD_GBPNZD,1.2742,100,95,5,95.0,35512.11,355.12,526.68,-2904.51,632.46,-5306.35,886.37,3.4453,10000,45512.11,355.12,1917,2020-01-02,2025-04-03,33.45,5306.35
EURUSD_GBPUSD,1.0092,56,52,4,92.86,18783.14,335.41,529.27,-2184.69,734.84,-3393.14,758.87,3.1494,10000,28783.14,187.83,2002,2020-01-07,2025-07-01,21.26,3393.14
EURAUD_CADCHF,1.4749,158,154,4,97.47,68192.42,431.6,564.03,-4666.88,990.9,-8454.71,939.8,4.653,10000,78192.42,681.92,1996,2020-01-07,2025-06-26,45.66,8454.71
EURGBP_GBPCHF,2.3384,71,67,4,94.37,29844.41,420.34,547.54,-1710.22,1727.37,-2447.96,570.81,5.3627,10000,39844.41,298.44,1903,2020-04-09,2025-06-25,30.36,2447.96
EURCAD_CADJPY,1.6955,82,78,4,95.12,32207.97,392.78,524.97,-2184.84,621.96,-3609.31,643.87,4.6854,10000,42207.97,322.08,1921,2020-01-02,2025-04-07,31.47,3609.31
AUDUSD_AUDCAD,2.3571,47,44,3,93.62,19222.21,408.98,519.94,-1218.36,600.93,-1818.28,453.58,6.259,10000,29222.21,192.22,1637,2021-01-05,2025-07-01,27.01,1818.28
GBPNZD_NZDCHF,1.8665,315,311,4,98.73,145750.91,462.7,570.45,-7915.03,1212.1,-15032.71,1087.28,5.6036,10000,155750.91,1457.51,1896,2020-01-22,2025-04-02,69.65,15032.71
EURAUD_AUDJPY,1.6834,63,61,2,96.83,28045.97,445.17,529.05,-2112.94,731.42,-2939.18,491.39,7.6367,10000,38045.97,280.46,1439,2021-05-27,2025-05-06,40.34,4225.89
EURAUD_EURNZD,0.5332,30,27,3,90.0,9401.45,313.38,534.31,-1674.94,703.69,-1776.09,675.99,2.871,10000,19401.45,94.01,1981,2020-01-16,2025-06-19,12.99,3248.72
GBPUSD_USDCHF,1.1925,94,91,3,96.81,36171.53,384.8,542.06,-4385.32,944.6,-4847.31,879.24,3.7494,10000,46171.53,361.72,1997,2020-01-03,2025-06-23,32.26,5543.85
EURAUD_AUDCHF,8.122,70,70,0,100.0,38629.49,551.85,551.85,0.0,1111.87,500.08,99.1,3862949.0,10000,48629.49,386.29,1736,2020-09-02,2025-06-05,39.45,19314.745
USDJPY_EURCAD,1.8804,42,41,1,97.62,24242.09,577.19,726.45,-5542.38,2967.67,-5542.38,1048.38,5.3739,10000,34242.09,242.42,849,2022-12-05,2025-04-02,69.75,5542.38
GBPUSD_USDCAD,1.016,69,66,3,95.65,25981.41,376.54,533.86,-3084.56,675.91,-4700.04,782.73,3.8077,10000,35981.41,259.81,1986,2020-01-03,2025-06-11,26.53,4700.04
USDCAD_AUDCHF,1.5767,99,95,4,95.96,37233.31,376.09,523.35,-3121.15,666.74,-4505.75,762.45,3.9823,10000,47233.31,372.33,1913,2020-01-06,2025-04-02,34.48,4505.75
USDJPY_NZDUSD,6.2922,49,49,0,100.0,31736.85,647.69,647.69,0.0,1671.93,501.02,236.35,3173685.0,10000,41736.85,317.37,1841,2020-06-04,2025-06-19,32.75,15868.425
